fold,best_f1_score,best_params,test_f1_score
1,1.0,"{'lr': 0.014047083959567951, 'batch_size': 4}",0.2222222222222222
2,1.0,"{'lr': 0.001818741017760027, 'batch_size': 4}",0.2222222222222222
3,1.0,"{'lr': 0.000745240879452873, 'batch_size': 4}",0.2222222222222222
