fold,best_f1_score,best_params,test_f1_score
1,1.0,"{'lr': 0.07835776408889393, 'batch_size': 2}",0.2222222222222222
2,1.0,"{'lr': 0.00011337561491745982, 'batch_size': 4}",0.2222222222222222
3,1.0,"{'lr': 0.010845233685605433, 'batch_size': 2}",0.2222222222222222
