fold,best_f1_score,best_params,test_f1_score
1,0.04647435897435898,"{'lr': 0.027732162705450703, 'batch_size': 2}",0.10676184295911746
2,0.04326923076923077,"{'lr': 0.028056696251266344, 'batch_size': 2}",0.08945075757575757
3,0.04647435897435898,"{'lr': 0.06097757792078228, 'batch_size': 2}",0.12291419946592361
4,0.03685897435897436,"{'lr': 0.03651389684701787, 'batch_size': 2}",0.123174637014928
5,0.041666666666666664,"{'lr': 0.017785575177014564, 'batch_size': 2}",0.13719580062357778
