fold,best_f1_score,best_params,test_f1_score
1,1.0,"{'lr': 0.0003439583937954767, 'batch_size': 2}",0.5333333333333333
2,1.0,"{'lr': 0.0883357705269517, 'batch_size': 4}",0.4090909090909091
3,1.0,"{'lr': 0.00020741102997556287, 'batch_size': 2}",0.8962962962962964
