fold,best_f1_score,best_params,test_f1_score
1,0.5,"{'lr': 0.002120211124543386, 'batch_size': 2}",0.13636363636363635
2,0.7333333333333334,"{'lr': 0.0001521881845524716, 'batch_size': 4}",0.43333333333333335
3,0.6,"{'lr': 0.0029149735114303945, 'batch_size': 4}",0.25641025641025644
