fold,best_f1_score,best_params,test_f1_score
1,1.0,"{'lr': 0.07487932934754468, 'batch_size': 4}",0.2222222222222222
2,1.0,"{'lr': 0.09738276171376473, 'batch_size': 2}",0.1818181818181818
3,1.0,"{'lr': 0.07959813620476844, 'batch_size': 4}",0.1818181818181818
