fold,best_f1_score,best_params,test_f1_score
1,1.0,"{'lr': 0.0015487151433759563, 'batch_size': 2}",0.18333333333333335
2,0.7333333333333334,"{'lr': 0.0007073293348470357, 'batch_size': 4}",0.18181818181818182
3,0.7333333333333334,"{'lr': 0.0003125046367211687, 'batch_size': 4}",0.47619047619047616
