fold,best_f1_score,best_params,test_f1_score
1,0.6666666666666666,"{'lr': 0.03853101102291632, 'batch_size': 2}",0.14285714285714285
2,1.0,"{'lr': 0.00021820951901573262, 'batch_size': 2}",0.2222222222222222
3,0.7333333333333334,"{'lr': 0.0009710521371144173, 'batch_size': 4}",0.4696969696969697
