fold,best_f1_score,best_params,test_f1_score
1,1.0,"{'lr': 0.09017401457884312, 'batch_size': 2}",0.2222222222222222
2,1.0,"{'lr': 0.0005505521958395666, 'batch_size': 4}",0.4090909090909091
3,1.0,"{'lr': 0.00010551580246155854, 'batch_size': 2}",0.6238095238095238
