fold,best_f1_score,best_params,test_f1_score
1,0.7333333333333334,"{'lr': 0.001284873216193257, 'batch_size': 4}",0.4090909090909091
2,0.6,"{'lr': 0.00035791667287605273, 'batch_size': 4}",0.2222222222222222
3,0.5,"{'lr': 0.0001603199110020545, 'batch_size': 4}",0.25641025641025644
