fold,best_f1_score,best_params,test_f1_score
1,0.7333333333333334,"{'lr': 0.0015940754920039262, 'batch_size': 4}",0.44047619047619047
2,1.0,"{'lr': 0.0011274990544352633, 'batch_size': 4}",0.4090909090909091
3,1.0,"{'lr': 0.0012766618680285957, 'batch_size': 4}",0.2777777777777778
