fold,best_f1_score,best_params,test_f1_score
1,1.0,"{'lr': 0.00033135702041722884, 'batch_size': 2}",0.2148148148148148
2,1.0,"{'lr': 0.0003608642563388941, 'batch_size': 4}",0.2222222222222222
3,1.0,"{'lr': 0.04866387027497597, 'batch_size': 2}",0.21333333333333335
