fold,best_f1_score,best_params,test_f1_score
1,1.0,"{'lr': 0.004425928646619391, 'batch_size': 4}",0.27777777777777773
2,0.6666666666666666,"{'lr': 0.00034629656440404895, 'batch_size': 2}",0.4222222222222222
3,0.5,"{'lr': 0.00010374874283928842, 'batch_size': 4}",0.35714285714285715
