fold,best_f1_score,best_params,test_f1_score
1,1.0,"{'lr': 0.00128789826307264, 'batch_size': 4}",0.3666666666666667
2,0.7333333333333334,"{'lr': 0.0012660953118563529, 'batch_size': 4}",0.43333333333333335
3,1.0,"{'lr': 0.000504899051171705, 'batch_size': 2}",0.25641025641025644
