fold,best_f1_score,best_params,test_f1_score
1,1.0,"{'lr': 0.03330687742420432, 'batch_size': 2}",0.2222222222222222
2,1.0,"{'lr': 0.027835901505057714, 'batch_size': 2}",0.2222222222222222
3,1.0,"{'lr': 0.059977696442784126, 'batch_size': 2}",0.0
