fold,best_f1_score,best_params,test_f1_score
1,1.0,"{'lr': 0.0013532159874240857, 'batch_size': 2}",0.30952380952380953
2,0.6666666666666666,"{'lr': 0.00018288174550651763, 'batch_size': 2}",0.4090909090909091
3,0.6,"{'lr': 0.004740594676932179, 'batch_size': 4}",0.8585858585858586
